"centerLong","centerLat","cluster"
-93.24996,44.97002,2
-93.27781,44.96938,1
-93.23619,44.96006,2
-93.22999,44.94406,4
-93.28745,44.94836,1
-93.26505,44.93686,4
-93.2995,44.95302,1
-93.27709,44.99775,3
-93.28322,44.96692,1
-93.27431,44.97449,2
-93.28804,45.03043,3
-93.22358,44.98419,2
-93.24989,44.93863,4
-93.3032,44.99228,3
-93.27713,44.96981,1
-93.27781,44.9618,1
-93.2893,45.02121,3
-93.24996,44.97002,2
-93.22883,45.00363,2
-93.22999,44.94284,4
-93.26284,44.97159,2
-93.25244,44.95464,1
-93.25851,45.00635,3
-93.27932,44.96704,1
-93.29258,45.00087,3
-93.2855,44.95643,1
-93.30884,45.00602,3
-93.24091,44.96336,2
-93.24415,44.98835,2
-93.29558,45.01404,3
-93.24822,44.98932,2
-93.28806,44.95284,1
-93.2899,44.96539,1
-93.26381,44.93866,4
-93.28895,45.05022,3
-93.24099,44.9978,2
-93.25258,44.98848,2
-93.29944,44.9785,1
-93.31077,45.00738,3
-93.25244,44.95464,1
-93.28499,44.93589,1
-93.23985,44.9834,2
-93.27078,44.93234,4
-93.29317,44.95099,1
-93.29317,44.95099,1
-93.24246,44.98702,2
-93.22816,45.01048,2
-93.26912,44.9795,2
-93.21534,44.97319,2
-93.21534,44.97319,2
-93.27499,44.96976,1
-93.25407,44.9765,2
-93.29747,45.00956,3
-93.25564,44.90707,4
-93.28053,44.9466,1
-93.27074,44.90747,4
-93.28556,44.94748,1
-93.28634,45.04239,3
-93.22499,44.94497,4
-93.32024,44.94231,1
-93.24736,45.00741,2
-93.2676,44.93867,1
-93.27237,44.97563,2
-93.23719,44.93321,4
-93.30825,45.01775,3
-93.22031,44.90809,4
-93.22719,44.90672,4
-93.28302,44.94747,1
-93.3,45.02039,3
-93.29689,44.96494,1
-93.27351,44.97743,2
-93.24733,45.01406,3
-93.27252,44.97833,2
-93.27406,44.95462,1
-93.28564,44.93498,1
-93.26511,44.96,1
-93.28431,44.94256,1
-93.21954,44.92694,4
-93.29257,45.00425,3
-93.26478,44.99763,2
-93.24824,45.01087,3
-93.24722,44.97263,2
-93.32712,44.91251,1
-93.27157,44.94921,1
-93.28359,44.97399,1
-93.2639,44.9457,1
-93.2731,44.97918,2
-93.21529,44.94054,4
-93.29317,44.95099,1
-93.26114,44.98137,2
-93.25566,44.98822,2
-93.29956,44.94747,1
-93.23412,44.9837,2
-93.29684,45.01586,3
-93.2956,45.02126,3
-93.29338,44.90057,4
-93.24564,44.99061,2
-93.31719,44.98973,3
-93.32264,44.94569,1
-93.25749,44.93865,4
-93.27809,44.90456,4
-93.25495,44.93864,4
-93.2958,44.94212,1
-93.20892,44.92613,4
-93.2862,44.98607,3
-93.24557,44.98309,2
-93.26631,44.93686,4
-93.29563,45.00088,3
-93.27616,44.99434,3
-93.2918,45.01403,3
-93.24132,44.94837,4
-93.26912,44.9795,2
-93.27282,44.91877,4
-93.2537,44.95644,2
-93.24733,45.01406,3
-93.29001,44.94836,1
-93.25782,44.89702,4
-93.24985,44.89892,4
-93.30722,45.03234,3
-93.27932,44.96704,1
-93.25871,44.93504,4
-93.27713,44.96981,1
-93.23615,44.90258,4
-93.24932,44.94836,4
-93.23009,45.00958,2
-93.24604,44.91699,4
-93.28103,45.0059,3
-93.29105,44.96716,1
-93.28566,44.93135,1
-93.25248,44.94563,4
-93.24866,44.94383,4
-93.27529,44.9865,2
-93.31588,45.01595,3
-93.2956,45.02126,3
-93.26285,44.97815,2
-93.24924,44.99509,2
-93.27292,44.9739,2
-93.28508,44.91777,4
-93.25243,44.99599,2
-93.27292,44.9739,2
-93.21773,44.99703,2
-93.27932,44.96932,1
-93.27937,44.90059,4
-93.29076,44.93678,1
-93.3057,44.99361,3
-93.27218,44.94497,1
-93.27882,44.97733,2
-93.21534,44.97319,2
-93.27148,44.96458,1
-93.2854,45.02755,3
-93.2854,45.02755,3
-93.21267,44.96072,2
-93.28156,44.9958,3
-93.26912,44.9795,2
-93.20611,44.91642,4
-93.26912,44.9795,2
-93.21595,44.98605,2
-93.28994,45.02213,3
-93.20646,44.92849,4
-93.25306,44.91244,4
-93.25892,44.96271,2
-93.26502,44.93505,4
-93.27781,44.96747,1
-93.27771,44.9705,1
-93.28083,44.96932,1
-93.26832,44.99763,3
-93.31106,45.03235,3
-93.25439,44.96273,2
-93.24865,44.97081,2
-93.2788,44.94834,1
-93.25373,44.95284,1
-93.22292,44.94926,4
-93.25239,44.92958,4
-93.24823,45.01217,3
-93.2913,44.94659,1
-93.3073,45.00512,3
-93.28427,44.95015,1
-93.2781,44.89493,4
-93.26256,44.96135,1
-93.24485,44.95721,2
-93.27179,44.97736,2
-93.24736,44.95464,2
-93.28807,45.02664,3
-93.23971,44.9978,2
-93.29827,44.94881,1
-93.26629,44.99469,2
-93.22545,44.92961,4
-93.28322,44.96692,1
-93.29891,44.94836,1
-93.31041,45.03774,3
-93.2625,44.93488,4
-93.23538,44.98098,2
-93.27659,44.95463,1
-93.27028,44.94582,1
-93.26114,44.98137,2
-93.29432,45.01764,3
-93.26134,44.94395,1
-93.30191,45.0159,3
-93.29067,44.94566,1
-93.27026,44.91879,4
-93.26615,45.00472,3
-93.29739,44.9542,1
-93.23745,44.90075,4
-93.2951,44.94836,1
-93.21579,44.96637,2
-93.28952,45.00086,3
-93.28952,45.00086,3
-93.28556,44.94748,1
-93.30443,44.99808,3
-93.28156,44.9958,3
-93.26312,44.97236,2
-93.22567,44.97192,2
-93.24246,44.98702,2
-93.26912,44.9795,2
-93.31437,44.89977,4
-93.28047,44.95553,1
